Date,Stream Title,Game,Duration,Average Viewers,Peak Viewers,Followers Gained,Minutes Watched,Unique Viewers,Unique Chatters
2026-07-06 12:00 PM,Monday SWTOR,SWTOR,4:02:00,11,19,3,2650,62,17
2026-07-08 12:00 PM,Wednesday SWTOR,SWTOR,3:55:00,15,25,5,3525,81,23
2026-07-10 12:00 PM,Friday SWTOR,SWTOR,4:08:00,10,18,2,2480,58,15
2026-07-13 12:00 PM,Monday SWTOR,SWTOR,4:01:00,12,21,3,2892,66,18
2026-07-15 12:00 PM,Wednesday SWTOR,SWTOR,3:58:00,17,29,6,4046,91,26
2026-07-17 12:00 PM,Friday Phasmo,Phasmophobia,5:20:00,13,27,3,4160,102,29
2026-07-20 12:00 PM,Monday SWTOR,SWTOR,3:47:00,13,22,4,2951,69,20
2026-07-22 12:00 PM,Wednesday SWTOR,SWTOR,4:04:00,18,31,6,4392,96,27
2026-07-24 12:00 PM,Friday Phasmo,Phasmophobia,5:35:00,12,24,2,4020,98,28
2026-07-27 12:00 PM,Monday SWTOR,SWTOR,3:52:00,14,23,4,3248,73,21
2026-07-29 12:00 PM,Wednesday SWTOR,SWTOR,4:03:00,19,34,7,4617,104,31
2026-07-31 12:00 PM,Friday Phasmo,Phasmophobia,5:42:00,11,22,2,3762,94,25
2026-08-03 12:00 PM,Monday SWTOR,SWTOR,4:05:00,14,24,4,3430,76,22
2026-08-05 12:00 PM,Wednesday SWTOR,SWTOR,3:59:00,20,35,7,4780,111,33
2026-08-07 12:00 PM,Friday SWTOR,SWTOR,4:11:00,13,21,3,3263,72,20
2026-08-10 12:00 PM,Monday SWTOR,SWTOR,4:00:00,15,26,5,3600,80,23
2026-08-12 12:00 PM,DEMO RAID STREAM,SWTOR,4:02:00,46,214,24,11095,278,71
2026-08-14 12:00 PM,Friday SWTOR,SWTOR,4:06:00,14,24,4,3444,78,22
2026-08-17 12:00 PM,Monday SWTOR,SWTOR,3:58:00,16,28,5,3824,86,24
2026-08-19 12:00 PM,Wednesday SWTOR,SWTOR,4:01:00,18,32,6,4338,97,28
